AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,22.1,27.4,34.3,30.2,37.1,38.8,42.1,37.9,40.5,25.3,8.7,3.5,2.9,1.3,2.3
Current_Liabilities,21.3,25.8,26.6,22.4,24.8,24.8,18.9,9.5,12.4,11.5,13.4,11.0,14.1,11.8,10.8
Diluted_EPS,-0.035,-0.063,-0.024,-0.077,-0.024,-0.131,0.004,-0.122,0.022,0.139,0.094,0.034,-0.012,-0.036,-0.0069999999999999
Goodwill_Intangibles,4.6,4.8,4.9,5.1,5.2,5.4,6.2,1.0,1.0,0.9,0.9,0.9,0.8,0.7,0.7
Inventory,1.8,1.9,1.7,1.5,1.3,0.9,0.6,,,,,,,,0.0
LT_Debt,3.1,3.2,3.3,3.4,2.6,2.5,2.6,4.9,2.9,2.9,2.8,3.8,3.9,3.8,4.2
Revenue,2.6,3.3,5.7,5.8,4.2,7.2,9.3,8.3,6.3,6.8,8.1,2.1,0.7,1.1,2.1
Shares_Diluted,174.9137,172.935,170.6214,170.1258,170.1258,170.4735,174.3856,166.2893,169.6355,164.7125,163.0881,152.2815,149.7672,140.3461,135.5626
Total_Assets,41.9,47.7,55.4,54.5,67.4,69.8,86.7,73.7,87.3,74.5,39.7,17.8,10.8,9.6,13.5
Total_Liabilities,25.2,30.8,30.8,27.5,29.1,29.0,25.5,14.4,15.2,15.1,16.2,14.8,18.0,15.7,15.1
