AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,1384.4,1445.4,1490.9,1611.1,,
Current_Liabilities,933.6,899.9,756.3,684.2,,
Diluted_EPS,0.166,0.063,-0.604,0.125,-0.225,-0.385
Goodwill_Intangibles,490.9,499.1,457.9,431.0,,
Inventory,442.4,421.0,364.5,360.9,,
LT_Debt,556.6,697.1,864.7,918.8,0.0,0.0
Revenue,822.5,785.0,1391.7,649.6,1092.6,433.3
Shares_Diluted,242.3646,238.9304,242.3437,242.3437,,
Total_Assets,2613.1,2662.0,2646.5,2658.1,,
Total_Liabilities,1882.0,1981.1,1999.1,1948.1,,
