AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,97.3,94.9,89.9,72.4,72.3,74.6,79.0,74.3,80.5,75.5
Current_Liabilities,112.8,112.4,104.7,84.2,84.0,90.4,89.8,85.3,70.3,68.7
Diluted_EPS,0.245,0.422,0.217,-0.116,-0.502,-0.753,-3.8,-0.521,0.065,-1.156
Goodwill_Intangibles,5.2,5.3,5.5,5.6,5.7,5.9,6.0,6.1,6.3,6.4
Inventory,,4.2,,,,,,,,0.0
LT_Debt,58.5,57.8,57.5,70.9,70.6,63.2,67.1,64.1,61.0,77.3
Revenue,128.6,127.5,123.4,120.0,120.9,118.6,118.0,117.6,118.7,119.0
Shares_Diluted,6.792,6.626,6.704,6.506,6.471,6.47,6.472,6.424,6.402,6.4
Total_Assets,439.9,438.8,441.3,431.2,440.4,449.1,510.3,530.9,159.2,172.3
Total_Liabilities,471.2,471.8,477.4,468.8,477.3,483.0,539.3,535.3,160.4,173.9
