AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,110.6,114.1,76.0,107.1,145.7,188.5,236.4,279.7,307.3,0.4,0.6,0.8,0.0
Current_Liabilities,49.2,43.0,32.4,79.4,69.8,53.2,42.0,22.3,32.4,3.1,0.1,0.0,0.0
Diluted_EPS,-0.256,-0.863,-0.225,-0.278,-0.302,-0.877,-0.172,-0.32,-0.353,-6.453,-0.01,-0.006,0.0
Goodwill_Intangibles,,,,,,,60.2,60.4,,,,,
Inventory,16.1,18.1,12.4,2.9,5.1,5.0,4.2,1.3,4.9,,,,
LT_Debt,284.5,284.3,181.6,121.4,117.5,102.6,85.4,72.5,0.0,0.0,0.0,0.0,0.0
Revenue,13.0,4.5,0.5,4.4,5.2,3.1,0.5,3.1,2.3,,,,
Shares_Diluted,131.124,108.123,106.453,103.098,101.321,100.815,100.437,100.084,80.729,2.6314,12.65,12.65,12.65
Total_Assets,609.8,595.3,563.5,563.8,563.6,554.1,604.1,595.5,507.4,100.4,100.7,100.8,0.0
Total_Liabilities,341.1,335.0,220.1,208.0,196.0,166.4,138.7,122.4,66.2,20.0,0.1,0.0,0.0
