AAII_QTR_DATA,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
Current_Assets,61.4,119.1,97.0,22.5,37.4,,
Current_Liabilities,34.0,25.3,18.5,10.0,6.8,,
Diluted_EPS,-2.02,-1.855,-1.502,-1.316,-1.248,-0.927,-0.822
Goodwill_Intangibles,0.3,1.9,1.6,1.6,1.6,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3.4,5.1,7.3,9.3,1.5,0.0,0.0
Revenue,2.0,,,,,,
Shares_Diluted,34.9037,31.2852,25.4477,20.0478,19.9565,,
Total_Assets,65.1,125.0,102.8,27.5,42.4,,
Total_Liabilities,39.7,30.7,25.9,19.4,8.2,,
