AAII_QTR_DATA,03/26/2023,12/25/2022,09/25/2022,06/26/2022,12/26/2021,09/26/2021,06/27/2021
Current_Assets,810.6,830.0,940.7,896.8,,,
Current_Liabilities,388.8,411.1,395.4,402.1,,,
Diluted_EPS,0.27,0.116,0.407,0.687,0.275,0.37,0.781
Goodwill_Intangibles,1269.1,1274.0,1298.6,1306.4,,,
Inventory,349.6,373.1,416.2,375.3,,,
LT_Debt,917.4,961.5,0.0,0.0,0.0,0.0,0.0
Revenue,676.7,784.4,858.4,1632.7,744.8,716.5,1394.0
Shares_Diluted,129.5,132.3394,128.0202,128.0202,,,
Total_Assets,2508.1,2529.4,3278.1,3195.2,,,
Total_Liabilities,1461.7,1520.2,573.4,581.8,,,
