AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,23.7,30.3,27.4,27.7,19.2,19.2,19.3,54.0
Current_Liabilities,64.0,67.6,58.3,64.6,59.0,54.7,40.2,46.0
Diluted_EPS,-0.051,0.03,-0.196,-0.165,-0.068,-1.914,-0.221,-0.133
Goodwill_Intangibles,22.7,24.0,24.1,24.2,24.7,,180.6,181.7
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.1,0.9,8.1,7.5,0.5,0.5,0.5,22.4
Revenue,15.5,16.9,16.5,36.2,20.1,62.0,16.1,16.9
Shares_Diluted,141.0952,154.9333,138.8201,138.7243,138.2574,116.182,113.5793,111.075
Total_Assets,52.0,61.3,58.5,59.5,51.9,54.0,208.9,246.9
Total_Liabilities,71.5,76.8,85.1,80.5,59.8,55.6,49.0,77.2
