AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,29.6,29.0,29.1,28.1,26.5,24.1,23.8,20.7,19.6,19.2,21.1,20.1,18.8,18.9,22.4
Current_Liabilities,13.1,12.1,12.8,9.0,9.1,8.4,9.1,11.0,8.9,9.5,10.4,9.7,8.8,7.5,9.5
Diluted_EPS,-0.058,-0.006,0.031,0.102,0.083,0.017,0.117,0.063,0.009000000000000001,0.066,-0.005,-0.009000000000000001,-0.025,-0.17800000000000002,-0.032
Goodwill_Intangibles,19.5,19.7,18.6,12.8,12.8,14.9,12.9,12.9,12.9,13.0,13.0,13.1,13.1,13.2,14.6
Inventory,8.6,8.3,7.6,7.3,6.7,6.9,6.5,6.7,6.9,6.4,6.8,6.8,6.5,5.8,6.8
LT_Debt,6.0,6.2,6.5,2.8,2.8,2.8,2.8,0.0,2.8,2.7,4.2,4.7,4.7,6.0,6.0
Revenue,34.1,31.0,29.6,29.2,29.4,25.6,26.0,25.0,25.4,23.2,22.7,23.2,24.6,23.0,24.5
Shares_Diluted,15.435,15.432,15.651,15.793,15.814,16.201,15.642,15.586,15.737,15.933,15.74,15.775,15.767000000000001,15.83,15.872
Total_Assets,71.0,70.9,70.3,63.6,62.2,61.2,59.9,57.2,57.0,57.0,57.8,57.7,57.1,56.8,62.1
Total_Liabilities,22.6,21.7,21.3,13.6,13.9,14.4,13.4,12.6,13.4,13.7,15.7,15.4,14.6,14.4,17.0
