AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,03/31/2021
Current_Assets,25.4,23.5,54.7,61.7,73.1,,
Current_Liabilities,76.2,78.3,79.8,69.3,51.4,,
Diluted_EPS,-0.072,-0.335,-0.196,-0.174,-0.604,-2.593,-0.724
Goodwill_Intangibles,12.8,13.4,14.0,14.5,15.1,,
Inventory,5.9,6.9,18.4,18.8,16.3,,
LT_Debt,26.0,25.3,26.7,30.0,34.0,0.0,0.0
Revenue,1.8,2.6,6.7,9.0,7.5,11.2,3.1
Shares_Diluted,73.3293,73.1541,72.7726,72.423,72.4376,,
Total_Assets,98.8,103.3,130.5,139.0,152.9,,
Total_Liabilities,125.5,128.4,134.1,133.9,142.8,,
