AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2.4,4.5,5.9,5.3,2.3,0.7,0.9,1.5,2.2,1.1,2.4,10.0,6.7,8.2,9.6,5.5
Current_Liabilities,40.9,85.0,96.7,177.8,34.9,134.3,95.0,32.5,1.7,2.0,2.0,3.8,1.7,2.1,2.2,4.4
Diluted_EPS,0.012,-0.22,-0.003,-1.634,1.188,-1.804,-1.03,-1.209,-0.44,-0.509,-1.268,-0.561,-3.4210000000000003,-387.67,-800.693,5135.197
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18.0,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,32.3,31.5,21.5,20.5,20.5,18.0,18.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0
Revenue,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.8
Shares_Diluted,395.2075,309.9899,251.5117,161.8925,52.9113,28.5278,25.2593,19.8159,3.6242,4.9726,2.9373,0.4933,0.3764,0.0102,0.004,0.0043
Total_Assets,44.8,48.3,46.4,32.8,25.0,29.6,16.8,11.8,13.9,9.7,5.1,31.2,7.2,8.6,10.1,7.0
Total_Liabilities,73.3,116.5,118.2,198.3,55.5,152.3,113.1,32.5,1.7,2.1,2.0,6.2,2.0,2.4,2.5,4.7
