AAII_QTR_DATA,03/31/2022,09/30/2021,03/31/2021,09/30/2020,03/31/2020,09/30/2019,03/31/2019
Current_Assets,45.3,54.2,48.7,45.3,30.1,,
Current_Liabilities,50.8,60.6,55.1,51.4,34.1,,
Diluted_EPS,0.089,0.23,0.106,0.201,0.069,0.056,0.027
Goodwill_Intangibles,1.6,1.6,1.7,1.8,0.4,,
Inventory,20.1,18.7,16.0,17.9,9.7,,
LT_Debt,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Revenue,60.1,167.7,87.4,140.1,56.2,46.6,17.6
Shares_Diluted,,,,,,,
Total_Assets,67.5,76.0,68.8,62.9,43.4,,
Total_Liabilities,51.7,61.6,56.2,52.3,34.9,,
