AAII_QTR_DATA,03/31/2022,09/30/2021,03/31/2021,09/30/2020,07/31/2020,04/30/2020,03/31/2020,01/31/2020,10/31/2019,09/30/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018
Current_Assets,54.6,79.1,84.8,70.0,0.1,0.1,,0.1,0.2,,0.3,0.3,,
Current_Liabilities,50.4,56.9,40.3,53.8,2.8,1.6,,0.8,0.7,,0.4,0.0,,
Diluted_EPS,-1.017,-0.821,-4.765,-2.89,-0.071,-0.031,-1.547,-0.004,-0.008,-0.668,-0.04,-0.018000000000000002,-0.01,-0.001
Goodwill_Intangibles,1.2,16.5,14.8,14.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,6.8,4.5,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.7,3.6,0.3,0.0,,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Shares_Diluted,42.2785,38.9542,26.301,37.3174,7.4275,7.4275,,7.4275,7.4275,,7.473,3.2298,,
Total_Assets,61.3,104.1,101.5,87.9,59.3,58.7,,58.1,58.1,,57.8,57.8,,
Total_Liabilities,57.2,60.3,39.7,53.6,4.5,3.3,,2.5,2.4,,2.1,1.8,,
