AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,14.9,13.9,14.6,19.7,17.5,13.2,9.4,7.3,4.5,3.3,1.6,1.5
Current_Liabilities,5.7,6.2,6.6,9.4,11.4,11.9,4.2,4.4,3.1,2.3,0.8,0.8
Diluted_EPS,-0.01,0.038,0.027,0.202,0.185,0.085,0.138,0.111,0.038,0.085,0.015,-0.065
Goodwill_Intangibles,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3
Inventory,7.6,6.0,6.3,10.0,5.9,3.8,2.1,1.2,1.1,0.6,0.7,0.5
LT_Debt,0.0,0.0,1.4,2.7,1.8,0.0,5.2,5.2,5.4,3.9,3.9,3.9
Revenue,12.5,11.3,11.2,16.8,18.1,12.8,8.8,6.7,3.4,2.2,1.5,1.3
Shares_Diluted,14.2467,15.885,15.8848,15.9062,15.9248,15.9628,16.2579,14.3811,16.0848,6.4672,6.4602,6.4621
Total_Assets,42.7,41.1,42.3,45.9,43.7,39.4,35.5,33.4,30.7,27.8,25.9,25.8
Total_Liabilities,6.2,6.6,8.4,12.4,13.4,12.0,9.4,9.6,8.5,6.2,4.7,4.7
