AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,99.7,98.5,45.3,,0.2,,,,0.7,0.2
Current_Liabilities,10.8,10.1,25.0,,5.2,,,,2.3,1.0
Diluted_EPS,-0.335,-0.406,0.221,-0.151,0.025,-0.033,-0.023,-0.059,-0.024,0.009000000000000001
Goodwill_Intangibles,48.1,48.3,45.8,,0.0,,,,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,21.2,21.5,32.2,14.8,0.0,3.3,1.6,2.6,0.0,0.0
Shares_Diluted,46.8329,36.0916,50.3805,,8.0702,,,,7.1922,7.1017
Total_Assets,154.6,147.2,92.6,,63.9,,,,75.9,74.5
Total_Liabilities,13.5,12.9,60.8,,16.1,,,,70.9,69.5
