AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,567.4,559.9,551.5,552.1,539.5,558.8,535.5,529.7,535.6,516.6,553.2
Current_Liabilities,281.8,295.5,280.0,260.0,239.1,253.6,247.1,232.5,235.4,185.6,201.5
Diluted_EPS,0.625,0.633,-0.127,0.551,0.337,0.555,0.438,0.268,0.276,0.402,0.326
Goodwill_Intangibles,530.5,533.4,434.0,455.3,456.2,469.7,464.3,471.6,474.2,476.5,420.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,48.0,63.0,7.0,49.0,75.0,73.0,77.0,92.0,93.0,102.0,82.0
Revenue,457.9,450.5,431.7,416.8,411.2,425.3,397.5,389.0,402.9,415.2,399.3
Shares_Diluted,39.956,40.081,39.994,40.38,41.334,41.484,41.307,42.094,42.299,42.381,42.20399999999999
Total_Assets,1421.4,1435.8,1326.1,1369.8,1366.3,1415.5,1374.1,1385.8,1403.1,1172.0,1146.3
Total_Liabilities,504.9,542.2,472.4,507.0,522.7,541.0,535.9,545.3,561.1,345.4,334.5
