AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,11.1,10.4,9.2,10.6,9.8,10.2,8.8,9.2,10.8,10.9,9.1
Current_Liabilities,21.9,21.8,18.8,13.6,10.9,17.6,15.3,14.6,14.6,17.3,15.8
Diluted_EPS,0.671,0.04,-0.188,0.162,0.789,0.129,-0.123,-0.007,1.0290000000000001,0.20800000000000002,-0.196
Goodwill_Intangibles,0.9,0.9,0.9,,,,,,,0.0,0.0
Inventory,3.9,4.2,4.2,3.9,3.6,4.0,4.0,3.5,3.1,3.6,3.4
LT_Debt,54.1,55.0,55.0,47.6,47.8,48.3,47.8,45.6,46.5,46.9,46.8
Revenue,13.2,8.3,5.3,7.0,11.9,8.2,5.4,6.9,23.2,9.5,5.8
Shares_Diluted,3.3794,3.0801,3.0705,3.0628,3.3499,3.0509,3.0449,3.0389,3.1822,3.3184,3.0198
Total_Assets,141.5,139.5,136.5,125.0,122.2,121.8,118.6,113.1,114.2,114.1,111.7
Total_Liabilities,99.0,98.8,95.6,83.6,81.0,87.3,84.2,78.0,78.7,80.8,78.9
