AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,280.9,279.2,264.6,261.7,244.8,246.4,235.8,330.6,,,,
Current_Liabilities,333.7,385.5,383.7,385.8,385.7,395.5,434.2,422.6,,,,
Diluted_EPS,0.005,0.013,-0.013,0.038,0.019,0.027,-1.263,-0.025,-1.943,-1.183,-0.214,-0.253
Goodwill_Intangibles,46.8,47.4,48.3,30.9,31.4,31.9,32.4,32.8,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,126.2,127.7,119.9,128.0,136.8,146.7,140.7,142.1,119.7,106.8,98.2,82.8
Shares_Diluted,321.0058,320.7834,319.9148,313.5974,313.6673,315.8107,316.2448,316.2448,,,,
Total_Assets,431.7,442.5,435.2,426.6,416.4,421.6,403.4,491.2,,,,
Total_Liabilities,448.3,463.7,462.9,465.1,468.1,470.1,461.8,2043.5,,,,
