AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,224.6,211.4,212.4,212.4,210.3,229.0,214.1,203.5,185.5,232.1,263.3,298.1,370.9,445.3
Current_Liabilities,242.6,204.5,130.9,125.0,122.1,121.3,120.2,100.0,104.6,108.7,114.7,112.8,170.6,171.0
Diluted_EPS,-1.388,-1.344,-0.889,1.232,-1.473,-0.533,-0.287,-0.604,-1.146,-1.4340000000000002,0.562,-0.627,-6.277,0.302
Goodwill_Intangibles,12.4,14.0,15.7,17.3,19.0,20.5,22.0,23.8,25.4,27.1,28.8,30.4,32.0,55.4
Inventory,146.3,128.6,123.9,125.1,122.9,129.9,122.3,118.6,111.6,111.5,136.0,144.7,139.5,266.6
LT_Debt,0.7,0.9,49.6,40.9,71.4,62.1,62.7,72.5,42.5,68.1,69.0,70.3,70.6,94.6
Revenue,164.4,168.5,168.1,148.9,143.9,156.6,145.6,138.7,141.3,165.6,177.7,141.7,728.2,208.9
Shares_Diluted,22.3362,22.1025,21.9414,22.0832,21.9895,21.9581,21.9214,21.8446,21.9063,21.8977,26.1395,26.6558,25.9684,26.1828
Total_Assets,517.0,493.9,499.4,492.9,493.5,508.6,515.7,510.5,502.2,555.3,599.5,639.4,708.2,910.7
Total_Liabilities,317.8,290.5,266.8,243.2,270.9,263.7,263.9,254.6,233.9,248.8,260.0,261.8,317.2,353.9
