AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,65.9,65.2,54.3,36.5,42.2,79.2,86.1,97.5,112.9,132.4,149.1,181.1,212.8
Current_Liabilities,16.0,16.1,11.7,12.3,18.8,17.9,16.0,24.6,22.5,22.0,17.2,25.9,23.9
Diluted_EPS,-0.082,0.109,0.422,-0.127,-0.43,-0.571,-0.315,-0.929,-1.075,-1.122,-1.172,-1.712,-1.935
Goodwill_Intangibles,33.8,34.2,34.6,35.0,35.4,,,,,,,,0.0
Inventory,6.1,5.5,5.4,6.0,7.3,3.1,2.0,2.2,1.9,2.0,2.0,4.0,1.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,13.3,16.1,34.1,11.0,9.1,5.8,7.6,7.3,5.7,5.7,4.4,4.2,3.5
Shares_Diluted,27.497,34.201,34.183,27.383,27.368,27.326,27.238,27.169,27.135,27.108,27.035,26.523000000000003,26.226
Total_Assets,100.3,100.0,89.6,72.2,80.7,107.4,118.2,132.2,149.1,169.9,187.8,204.3,237.1
Total_Liabilities,168.7,167.5,161.9,160.3,166.2,182.6,179.9,188.2,184.3,182.5,176.5,168.4,162.1
