AAII_QTR_DATA,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,131.7,148.3,138.8,113.2,126.6,125.1,120.9,123.1,125.3,117.4
Current_Liabilities,91.4,113.1,107.2,84.6,89.1,86.0,85.3,86.9,98.4,85.1
Diluted_EPS,0.062,-0.065,0.056,-0.162,-0.001,-0.004,0.0,0.092,-0.135,-0.07200000000000001
Goodwill_Intangibles,55.9,57.9,55.4,57.6,59.6,60.3,61.4,64.6,65.6,69.8
Inventory,41.8,38.9,42.7,41.5,41.5,38.0,37.9,38.6,39.2,38.6
LT_Debt,8.5,9.5,9.6,8.9,9.9,3.3,3.9,4.6,5.2,5.9
Revenue,71.5,70.8,66.7,55.4,73.7,70.4,73.8,74.1,69.2,69.2
Shares_Diluted,57.023,55.697,56.724,55.603,55.439,55.382,56.437,56.16,55.184,55.115
Total_Assets,291.8,310.7,293.5,271.4,287.5,277.6,275.2,283.0,287.1,284.5
Total_Liabilities,114.6,138.1,130.6,108.2,114.0,105.0,105.3,108.2,120.1,106.6
