AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,03/31/2019,09/30/2018,03/31/2018,09/30/2017,03/31/2017
Current_Assets,17.1,24.0,35.1,20.5,30.2,36.3,29.8,31.5,21.3,21.3,,
Current_Liabilities,15.3,13.4,19.1,19.7,22.3,29.1,20.8,22.5,20.6,20.6,,
Diluted_EPS,-0.55,-0.49,-0.356,-0.03,-0.449,0.086,-0.107,-0.648,-0.19,-1.607,-0.44,0.531
Goodwill_Intangibles,48.1,47.4,36.0,29.8,30.7,31.8,32.4,33.2,36.4,36.4,,
Inventory,1.4,1.5,0.8,,,,,0.6,,,,
LT_Debt,22.4,22.1,20.3,24.6,19.1,19.4,18.4,15.3,18.4,18.4,0.0,0.0
Revenue,,18.9,17.8,21.3,16.6,31.4,13.6,20.6,18.5,17.5,16.2,29.8
Shares_Diluted,,20.4714,20.1841,12.7333,13.914,13.2,13.5574,13.2463,13.8684,13.6647,,
Total_Assets,71.8,76.5,83.6,62.4,65.8,73.1,65.4,69.6,76.3,76.3,,
Total_Liabilities,38.3,36.1,41.4,44.7,41.7,50.6,41.4,38.1,39.3,39.3,,
