AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,3018.1,3838.6,3668.1,3725.8,3754.0,3749.8,2511.6,2394.3,2172.8,1424.1,1212.3,1024.2,,,,,
Current_Liabilities,2633.7,2480.8,2238.2,2263.5,2174.7,2167.1,1917.6,1772.0,1510.4,1228.5,1018.9,828.1,,,,,
Diluted_EPS,-0.442,-0.482,-0.498,-0.297,-0.272,-0.245,-0.128,-0.244,-0.236,-0.107,-0.088,-0.13,-0.135,-0.059,-0.031,-0.022,-0.016
Goodwill_Intangibles,185.1,189.1,184.1,186.8,173.9,177.7,181.5,97.6,99.8,101.9,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,989.3,989.0,988.7,988.3,988.0,987.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,655.3,579.0,517.7,591.2,537.1,568.8,509.3,454.1,387.0,310.0,251.9,200.4,161.6,147.6,131.1,119.2,110.5
Shares_Diluted,606.637,601.88,597.779,593.928,588.521,585.878,578.471,574.595,569.8315,550.4508,550.4508,550.4508,,,,,
Total_Assets,5471.5,5375.5,5038.3,4919.4,4715.8,4560.6,3272.3,3073.8,2816.1,1847.8,1489.5,1262.0,,,,,
Total_Liabilities,5223.6,5069.5,4614.6,4372.3,4154.7,3975.8,2678.6,2547.1,2242.6,1755.4,1458.4,1195.3,,,,,
