AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,7.3,7.5,8.3,10.8,11.1,13.9,1.8,0.9,1.5,0.4,0.5,0.5
Current_Liabilities,1.5,0.9,1.1,2.5,1.8,2.9,2.4,1.8,1.6,1.3,0.9,0.9
Diluted_EPS,-0.146,-0.116,-0.22,-0.186,-0.329,-0.294,-0.205,-0.148,-0.127,-0.122,-0.098,-0.095
Goodwill_Intangibles,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4
Inventory,1.0,0.5,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2
LT_Debt,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.7
Revenue,0.6,0.5,0.6,0.6,0.4,0.5,0.3,0.4,0.3,0.1,0.2,0.1
Shares_Diluted,5.5863,5.5826,5.5722,5.5722,5.5722,5.5722,5.5651,5.5651,5.5651,5.5651,5.5651,5.5651
Total_Assets,11.0,10.4,11.2,13.8,14.1,17.0,4.9,4.1,3.4,2.3,2.2,2.3
Total_Liabilities,4.2,2.7,3.0,4.4,3.8,4.9,4.5,3.8,2.4,2.2,1.8,1.8
