AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
Current_Assets,55.2,64.6,74.7,81.3,102.2,106.3,164.4,285.1,331.0,320.0,337.1,348.0,295.0,
Current_Liabilities,74.5,71.7,57.4,56.2,73.9,129.0,153.3,153.2,201.2,185.4,228.6,262.2,284.7,
Diluted_EPS,-1.147,-2.018,-5.206,-3.211,-15.772,-8.725,-85.231,3.097,6.496,5.532,-0.129,-0.099,0.013,
Goodwill_Intangibles,1.4,1.4,1.4,1.4,2.4,11.2,12.0,13.0,13.7,4.5,4.9,5.0,4.9,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,33.6,35.4,56.7,56.7,56.7,3.0,14.4,8.6,3.1,3.1,20.6,14.0,52.9,0.0
Revenue,4.9,5.6,11.6,13.0,18.0,35.7,72.1,42.1,69.4,112.8,38.7,46.2,42.1,33.6
Shares_Diluted,8.4174,8.5731,1.7142,1.7111,1.7044,1.6937,1.698,1.917,1.6345,1.4078,37.459,37.459,37.459,
Total_Assets,75.0,84.7,107.9,115.8,138.7,171.8,221.2,342.4,375.5,342.9,359.7,378.3,333.8,
Total_Liabilities,131.9,131.8,139.8,138.6,155.5,157.6,194.3,164.6,207.2,189.8,250.6,277.6,338.9,
