AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,3.9,5.4,8.1,9.6,11.7,14.6,15.5,20.9,4.9,4.0,6.1,8.9,11.3,9.1,11.2,12.5,10.5,13.3,13.5,15.8
Current_Liabilities,11.8,11.3,7.2,6.5,7.5,6.2,1.2,1.9,1.4,1.6,0.8,1.3,1.0,1.1,1.3,1.1,1.5,1.6,0.8,0.9
Diluted_EPS,-0.077,-0.08,-0.14,-1.705,-0.118,-0.126,-0.199,-0.358,-0.086,-0.063,-0.051,-0.088,-0.033,-0.037,-0.088,0.179,-0.074,-0.445,-0.01,-0.057
Goodwill_Intangibles,73.3,73.3,73.3,73.3,166.5,166.5,166.5,166.5,166.5,166.5,166.5,166.5,166.5,166.5,166.6,166.6,157.9,159.9,161.8,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,1.2,4.7,4.6,0.0,1.2,5.9,5.8,5.7,5.9,5.9,5.8,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,55.9746,55.5092,55.0995,52.937,52.6388,52.322,52.2197,48.4985,46.7833,46.6603,46.6051,46.4826,46.2756,46.2752,46.2413,38.9978,37.0702,36.1724,36.1709,35.8522
Total_Assets,78.7,80.3,83.1,84.6,180.1,183.1,184.1,189.6,173.7,172.9,175.1,178.1,180.5,178.4,180.6,179.9,169.3,174.0,175.8,182.5
Total_Liabilities,12.6,13.4,12.7,12.0,18.9,17.5,17.1,14.9,11.4,10.9,10.9,11.8,10.3,7.1,8.4,6.8,25.3,25.2,22.2,23.8
