AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,34.0,64.8,117.1,141.5,160.1,229.1,98.7,1.0,1.6,,
Current_Liabilities,124.0,134.6,238.3,230.1,181.8,153.1,96.6,0.6,0.5,,
Diluted_EPS,-3.504,-3.148,-0.869,-28.149,0.689,-6.456,-4.287,0.15,-0.202,-4.068,-0.16
Goodwill_Intangibles,29.4,0.0,0.0,0.0,118.9,121.2,124.1,0.0,0.0,,
Inventory,1.4,1.5,2.2,5.5,23.3,28.2,17.7,0.0,0.0,,
LT_Debt,87.7,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,29.5,69.7,72.9,102.1,35.4,49.5,61.1,,0.0,19.4,40.2
Shares_Diluted,12.6496,11.5647,11.2362,11.1039,11.238,7.5851,10.974,39.5313,39.5313,,
Total_Assets,213.8,225.7,294.0,331.3,567.0,597.3,394.8,317.3,317.9,,
Total_Liabilities,221.3,200.5,250.3,235.9,215.1,295.5,246.7,30.0,36.7,,
