AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,14.4,13.7,21.7,29.9,36.8,44.4,47.7,14.1,7.4,0.6,1.5,1.1,0.4,0.1,0.1,0.1,0.4,0.1,0.3,0.3
Current_Liabilities,3.3,1.6,6.3,3.1,3.7,4.7,2.4,1.8,0.8,7.8,4.7,5.8,5.2,6.1,4.9,4.5,4.2,3.8,2.7,1.9
Diluted_EPS,-0.009,-0.01,-0.004,-0.011,-0.004,-0.006,-0.031,-0.01,-0.01,-0.063,-0.007,-0.052,-0.028,-0.022,-0.02,-0.009,-0.057,-0.0279999999999999,-0.023,-0.005
Goodwill_Intangibles,3.9,3.9,3.9,3.9,3.8,3.8,3.8,1.6,0.8,,,,,,,,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,651.9978,648.0362,644.1386,644.3913,634.3791,631.4582,642.0228,563.6708,506.776,491.6406,437.8783,254.9381,266.9959,136.2608,123.3803,114.8326,114.1627,92.4753,95.018,90.6931
Total_Assets,57.4,47.6,53.8,52.9,56.6,60.2,60.2,21.3,9.5,1.6,1.6,1.2,0.4,0.1,0.1,0.1,0.5,0.2,0.3,0.3
Total_Liabilities,3.4,1.7,6.5,3.2,3.9,4.9,2.4,1.8,1.1,8.2,5.0,6.1,5.2,6.1,4.9,4.5,4.2,3.8,2.7,1.9
