AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017
Current_Assets,11.5,6.6,6.2,16.5,25.7,28.6,46.4,47.2,76.5,15.4,5.7
Current_Liabilities,2.2,3.5,2.2,2.8,7.4,12.8,6.5,6.5,10.0,8.0,3.4
Diluted_EPS,,-0.012,-0.071,-0.012,-0.654,-0.02,-0.23,-0.012,-0.219,-0.06,-0.71
Goodwill_Intangibles,0.4,0.4,0.4,5.4,5.6,65.1,3.9,28.2,43.4,90.6,92.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.1,0.1,0.1,6.2,6.4,6.4,6.4,0.4,0.4,0.0
Revenue,3.9,1.9,2.4,1.3,1.8,1.5,2.4,2.8,1.3,0.3,0.0
Shares_Diluted,,101.598,101.7853,101.3419,100.8872,95.3345,80.0246,78.3696,51.2306,18.9308,12.3704
Total_Assets,69.7,70.4,70.3,78.3,90.1,164.3,139.7,140.6,190.8,156.2,98.5
Total_Liabilities,7.5,9.0,7.8,8.5,19.5,28.0,20.1,20.1,52.8,57.8,14.6
