AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,32.5,31.3,24.4,14.0,16.9,17.2,17.6,19.2,21.1,18.7
Current_Liabilities,50.4,50.0,43.5,42.7,43.2,43.6,44.5,40.8,40.9,39.8
Diluted_EPS,0.051,-0.116,0.151,-0.105,-0.113,-0.048,-0.194,-0.266,-0.112,-0.28300000000000003
Goodwill_Intangibles,9.4,9.6,6.5,0.9,0.9,1.0,1.0,1.0,1.1,1.1
Inventory,13.3,12.2,10.9,6.2,9.3,9.2,8.8,10.4,12.3,10.9
LT_Debt,0.2,2.0,2.0,0.3,0.4,0.4,0.5,0.5,0.6,0.7
Revenue,25.6,24.2,21.5,22.9,20.9,21.9,23.8,32.8,31.3,30.3
Shares_Diluted,45.1925,27.5187,23.8095,18.6011,18.3706,18.3515,17.385,15.6358,16.1544,14.7094
Total_Assets,131.6,131.4,121.3,99.3,103.4,104.8,109.6,47.1,50.4,48.2
Total_Liabilities,110.9,113.5,106.8,101.8,104.4,106.4,110.9,48.1,48.2,47.0
