AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,13.9,20.5,15.8,10.0,13.6,13.0,11.6,11.7,11.7,17.7,15.9,12.4,21.9
Current_Liabilities,12.5,13.5,12.3,10.5,10.2,11.8,9.8,10.5,10.6,14.2,9.1,7.1,8.5
Diluted_EPS,-0.03,-0.011,0.056,-0.008,0.019,0.014,0.003,-0.039,0.023,0.028,0.006999999999999999,-0.025,-0.006999999999999999
Goodwill_Intangibles,45.7,40.8,41.4,42.0,40.9,40.2,37.9,40.1,40.7,38.2,33.2,35.0,31.1
Inventory,0.1,0.1,0.0,0.0,2.6,1.8,2.6,2.6,1.0,0.1,6.3,6.2,6.8
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.1,14.8,8.7,5.4,10.4,9.6,2.0,3.1,0.7,12.6,11.5,37.6,14.0
Shares_Diluted,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.6993,51.7,51.7,52.1162,51.9654,52.0185
Total_Assets,61.4,63.3,61.9,58.4,56.7,55.7,52.8,54.2,54.3,58.5,53.5,49.7,55.2
Total_Liabilities,14.6,14.9,13.8,13.0,12.6,14.3,12.1,12.8,12.2,15.8,11.0,8.6,10.0
