AAII_QTR_DATA,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,1287.6,1342.3,1178.8,1427.8,881.5,898.9,,,
Current_Liabilities,1446.4,1357.9,944.3,830.6,755.3,765.7,,,
Diluted_EPS,-0.14,-0.53,0.05,-0.243,-0.092,0.236,-0.982,-0.061,-1.075
Goodwill_Intangibles,2078.1,2161.9,1918.9,1570.7,1453.8,1514.1,,,
Inventory,70.1,61.6,39.6,42.0,38.8,36.0,,,
LT_Debt,2980.7,3064.7,2748.0,2727.0,2306.5,2330.0,0.0,0.0,0.0
Revenue,521.3,467.7,446.1,415.6,400.5,763.6,1403.1,368.3,664.1
Shares_Diluted,332.3714,331.4717,366.28,301.185,328.0539,328.0539,,,
Total_Assets,6237.6,6404.4,5761.6,5473.7,4570.6,4683.6,,,
Total_Liabilities,4962.8,5039.5,4027.6,3890.6,3343.9,3375.9,,,
