AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,19.6,632.6,422.9,120.2,492.8,1849.5,0.0,0.2,0.3,0.5,0.7
Current_Liabilities,28.5,600.4,603.2,507.6,1094.9,1365.0,0.2,1.3,1.2,1.1,1.1
Diluted_EPS,0.206,0.074,0.086,0.027,-0.204,-0.042,0.0,-0.008,-0.003,-0.007,-0.003
Goodwill_Intangibles,0.0,0.8,1.1,1.4,1.7,2.0,,,,,
Inventory,0.0,0.0,0.0,0.1,0.1,0.2,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,171.8,291.7,525.7,257.1,763.1,177.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,1240.313,1227.516,1225.383,1214.794,1068.119,1051.385,654.318,40.3062,40.3064,40.3062,40.3062
Total_Assets,1234.9,1509.5,1408.9,1212.6,1693.4,2762.2,0.0,0.6,0.8,0.9,1.2
Total_Liabilities,28.5,604.6,607.5,511.9,1097.0,2252.5,0.2,1.1,1.0,0.9,1.0
