AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022
Current_Assets,1003.1,995.0,1001.8,943.0,952.3
Current_Liabilities,668.3,727.0,773.2,732.8,779.7
Diluted_EPS,0.127,0.007,0.107,-0.051,0.021
Goodwill_Intangibles,240.2,245.9,247.6,241.4,230.5
Inventory,18.7,18.0,15.8,15.8,15.7
LT_Debt,1075.6,1087.0,1089.0,1104.2,1213.1
Revenue,570.5,572.0,542.5,476.3,504.9
Shares_Diluted,179.672,179.76,198.042,155.05,163.617
Total_Assets,2196.3,2221.1,2285.3,2233.7,2223.1
Total_Liabilities,1862.4,1932.0,1983.2,1953.7,2105.5
