AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,06/30/2021
Current_Assets,8.1,5.9,0.2,0.2,0.6,0.8,0.0
Current_Liabilities,,1.9,0.6,0.2,0.2,0.1,0.1
Diluted_EPS,,-0.303,0.025,-0.061,-0.027,-0.018,0.0
Goodwill_Intangibles,0.0,0.4,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,,13.684,8.125,8.125,8.125,8.125,7.5
Total_Assets,8.6,6.2,65.8,65.2,65.6,65.8,0.1
Total_Liabilities,5.1,1.9,0.6,0.2,0.2,0.1,0.1
