AAII_QTR_DATA,03/31/2023,09/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021
Current_Assets,45.8,56.6,97.8,90.3,1.5,2.0
Current_Liabilities,20.8,23.8,20.0,17.1,2.6,1.0
Diluted_EPS,-0.174,0.058,0.476,-2.469,-0.294,0.202
Goodwill_Intangibles,57.2,40.3,30.0,18.2,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,7.6,6.7,8.0,0.0,0.0,0.0
Revenue,,1.9,5.3,0.0,,
Shares_Diluted,125.4294,121.9263,121.9261,110.0734,43.125,42.6836
Total_Assets,114.5,123.9,143.2,113.7,346.5,347.0
Total_Liabilities,34.3,45.3,87.4,147.6,35.5,23.3
