AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,28.1,20.8,38.3,42.7,64.5,88.7,69.2,83.4,81.2,78.0,65.6,63.8
Current_Liabilities,65.0,15.4,8.0,74.1,96.6,16.5,21.3,31.1,28.8,29.7,22.0,20.7
Diluted_EPS,-0.235,-0.301,-0.156,-0.039,-0.11,-0.151,0.171,0.208,0.23800000000000002,0.046,0.087,0.2
Goodwill_Intangibles,66.5,67.1,67.8,68.4,69.0,69.6,70.4,71.1,71.8,72.4,73.1,73.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.2,42.1,62.3,0.4,0.4,102.4,75.3,81.3,84.3,83.5,76.1,76.1
Revenue,31.9,26.9,37.8,48.0,51.7,68.5,91.2,108.9,111.1,90.4,88.9,84.8
Shares_Diluted,12.339,12.243,12.211,12.209,12.209,12.096,18.535,18.35,18.218,12.355,18.1167,18.1407
Total_Assets,107.5,101.7,120.0,125.9,149.4,175.6,157.3,171.7,170.3,168.4,152.9,152.3
Total_Liabilities,68.9,61.4,76.7,80.7,103.9,126.3,104.2,119.5,119.6,119.6,102.2,100.8
