AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,11.4,9.6,10.6,14.1,18.0,21.8,20.5,22.4
Current_Liabilities,3.1,3.8,2.0,1.7,1.8,1.9,1.6,2.7
Diluted_EPS,-0.137,-0.169,-0.11,-0.144,-0.149,-0.102,-0.099,-0.128
Goodwill_Intangibles,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3
Revenue,0.2,0.2,0.2,0.1,,0.0,0.0,0.2
Shares_Diluted,38.5437,37.0754,36.7027,36.6724,36.5203,36.3765,35.174,34.525
Total_Assets,16.9,15.4,15.1,18.6,23.0,27.2,24.9,26.6
Total_Liabilities,3.2,3.9,2.2,1.9,2.0,2.2,1.9,3.0
