AAII_QTR_DATA,08/01/2020,05/02/2020,02/01/2020,11/02/2019,08/03/2019,05/04/2019,02/02/2019,11/03/2018,08/04/2018
Current_Assets,1764.6,2112.4,1599.8,1641.9,1481.1,1450.0,1515.5,1693.9,1549.6
Current_Liabilities,1379.2,1764.5,1196.4,1382.7,1191.2,1142.1,932.6,1293.9,1047.9
Diluted_EPS,-0.053,-0.432,1.236,0.19,0.156,0.239,1.146,0.502,0.317
Goodwill_Intangibles,154.1,158.8,160.7,99.3,126.2,129.0,129.3,139.7,
Inventory,1021.7,1110.8,1097.1,1423.4,1256.5,1101.7,1108.7,1440.9,1280.1
LT_Debt,2633.6,2639.1,2644.5,2649.8,2655.4,2675.6,2681.0,2690.3,2695.1
Revenue,1148.2,799.9,1722.6,1222.0,1033.7,1093.7,1789.1,1274.1,2208.8
Shares_Diluted,147.296,146.865,146.782,150.925,157.273,157.861,157.959,166.57,171.2105
Total_Assets,3923.3,4307.6,3838.1,3845.1,3707.1,3679.3,2128.3,2339.0,2192.5
Total_Liabilities,5433.2,5823.0,5284.6,5476.9,5294.7,5266.6,3754.5,4128.9,3891.9
