AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,11.9,16.1,6.2,8.7,14.1,19.3,23.1,24.9,10.2
Current_Liabilities,7.7,9.6,6.9,8.7,8.7,7.9,9.4,7.2,6.2
Diluted_EPS,-0.294,-0.273,-0.989,-1.176,-2.255,-0.448,-9.153,-1.921,-0.726
Goodwill_Intangibles,5.5,5.1,4.4,4.5,4.6,9.0,7.4,9.8,10.1
Inventory,4.7,3.4,2.4,2.4,3.8,3.7,2.4,3.3,4.0
LT_Debt,0.6,0.6,2.7,0.2,0.2,0.2,0.3,6.4,6.0
Revenue,1.0,0.8,1.9,1.2,0.4,4.0,6.0,2.3,2.1
Shares_Diluted,14.6352,14.2205,5.0337,4.8201,4.8162,4.727,1.4849,0.9796,0.8639
Total_Assets,18.6,22.6,12.1,13.7,19.1,28.8,31.1,35.6,20.9
Total_Liabilities,8.3,10.2,9.6,9.0,9.0,8.3,9.8,13.8,12.3
