AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,1992.0,2084.8,1879.0,1759.3,2735.9,3097.3,2536.7,2556.5,1916.9,1986.3,1831.7,1682.5,1272.9,1497.3,1297.5,1139.0,1167.0,1112.6
Current_Liabilities,2689.1,2638.7,2077.1,1946.0,1757.6,2134.5,1373.8,1530.5,1507.8,1583.8,1272.6,1255.7,1055.1,1437.7,1406.7,1079.3,1157.0,1312.4
Diluted_EPS,0.171,0.224,0.161,0.116,0.168,0.422,0.412,0.279,0.109,0.4,0.154,0.183,0.059,0.336,0.2239999999999999,0.797,0.044,0.242
Goodwill_Intangibles,3286.0,3302.2,3208.2,3167.1,2132.3,2129.2,1457.4,1500.9,1682.9,1722.2,1719.4,1865.1,1689.5,1712.4,1904.2,1931.5,1847.7,1981.4
Inventory,60.6,47.5,55.9,56.4,44.7,40.7,46.5,45.4,57.4,47.0,39.5,41.0,47.6,36.0,40.8,40.8,38.1,34.0
LT_Debt,2868.6,2872.3,3100.4,3127.4,2378.1,2232.9,2040.5,2015.2,1445.0,1522.4,1464.2,1673.1,1522.2,1337.7,1437.1,1575.4,1427.0,500.7
Revenue,1134.5,1171.6,1128.7,1079.8,950.9,965.4,907.5,886.5,827.9,892.5,837.0,1651.0,746.6,812.3,839.0,813.7,744.2,826.8
Shares_Diluted,484.1604,484.1516,559.58,484.0924,484.1448,484.1012,484.1364,484.2448,484.196,483.875,484.1609,484.1609,484.1894,483.8598,484.443,484.236,484.2756,483.7302
Total_Assets,11383.6,11346.5,11000.5,10923.8,9861.6,10021.1,8846.3,8822.0,7844.3,7946.8,7591.2,8017.2,6995.8,7146.2,7527.2,7330.0,6538.5,5927.9
Total_Liabilities,6311.5,6237.9,5912.2,5828.4,4764.9,4970.8,3889.6,4039.8,3367.9,3524.0,3155.7,3418.4,2995.3,3173.3,3317.2,3141.6,3001.5,2256.1
