AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,591.1,609.0,591.3,598.4,588.9,586.0,273.0,255.4,,,,,,
Current_Liabilities,204.2,213.2,187.8,186.0,179.1,182.2,165.4,152.7,,,,,,
Diluted_EPS,-0.293,-0.181,-0.176,-0.094,-0.034,-1.182,-0.028,-0.027,0.289,-0.15,-0.202,-0.17,-0.179,-0.11599999999999999
Goodwill_Intangibles,8.1,8.2,8.4,,,,,,,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,55.4,50.8,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,89.1,90.9,83.6,79.7,81.6,80.7,68.8,68.8,66.9,57.1,54.7,50.0,47.6,52.9
Shares_Diluted,78.21,77.577,77.119,76.479,75.709,62.729,73.1479,73.1479,,,,,,
Total_Assets,615.0,634.1,608.7,608.1,599.5,597.5,288.5,269.6,,,,,,
Total_Liabilities,210.3,220.5,191.1,189.8,183.4,186.8,229.1,210.5,,,,,,
