AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,16.8,18.2,15.0,15.2,12.1,8.9,7.7,8.5,8.7,12.2,1.7,2.3,2.7,1.3,1.0,1.2
Current_Liabilities,27.8,28.1,25.3,28.9,25.0,22.9,18.9,18.3,15.9,20.4,5.8,5.1,5.3,3.2,2.4,1.7
Diluted_EPS,-0.086,-0.106,-0.113,-0.157,-0.016,-0.199,-0.266,-0.259,-0.193,-0.193,-0.29,-0.042,-0.122,-0.057,-0.064,-0.027000000000000003
Goodwill_Intangibles,,,,,,,,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.1
Inventory,,,,,,,,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
LT_Debt,20.2,20.4,17.2,14.3,15.9,17.0,17.5,18.7,18.1,15.3,1.4,1.6,1.7,1.2,1.2,0.5
Revenue,18.1,16.2,17.5,14.8,12.2,7.6,4.7,6.8,8.4,4.4,0.5,2.1,2.8,1.8,1.2,1.0
Shares_Diluted,35.1248,34.3117,29.5641,23.2144,20.9588,19.5163,19.7711,17.3801,17.3801,15.6865,13.8245,14.3328,13.9134,12.4605,11.4999,10.3365
Total_Assets,26.4,32.0,29.2,31.3,30.4,27.2,27.4,32.1,32.7,37.9,6.4,7.5,8.0,4.1,3.5,2.4
Total_Liabilities,48.8,51.4,45.4,45.9,43.9,41.8,38.2,38.0,35.1,37.0,7.4,7.0,7.2,4.6,3.6,2.2
