AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,1357.3,1406.3,1201.5,1261.2,1343.7,1605.7,950.7,977.3,937.1,591.6,329.7,,,,,,
Current_Liabilities,1126.5,1173.9,889.6,940.8,967.7,1023.0,676.2,652.4,728.9,967.5,789.6,,,,,,
Diluted_EPS,-0.432,-0.433,-0.398,-0.48,-0.508,-0.557,-0.555,-0.513,-0.414,-0.029,-0.17,-0.253,-0.089,-0.293,-0.18,-0.386,-1.143
Goodwill_Intangibles,1317.6,1328.3,1341.6,1356.5,1369.9,1383.3,34.8,9.9,10.3,10.7,11.0,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,504.6,502.9,501.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,409.8,389.1,377.5,356.4,335.6,316.0,271.6,249.3,238.6,213.6,192.8,181.0,176.1,172.8,152.0,136.8,129.5
Shares_Diluted,599.3141,592.1491,586.8501,582.3204,575.7006,556.1351,515.213,513.5077,482.2605,503.3847,503.3847,,,,,,
Total_Assets,3347.7,3395.9,3151.5,3227.1,3331.0,3582.2,1442.6,1434.1,1389.5,1039.1,706.2,,,,,,
Total_Liabilities,1447.8,1491.8,1233.4,1306.5,1354.9,1395.5,1423.6,1398.8,1488.9,1308.0,1103.3,,,,,,
