AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,14.1,12.6,11.4,12.0,,
Current_Liabilities,12.4,9.9,9.7,7.6,,
Diluted_EPS,0.243,0.155,0.265,0.121,0.201,0.071
Goodwill_Intangibles,5.0,0.7,0.7,0.7,,
Inventory,2.6,2.8,3.0,2.1,,
LT_Debt,10.2,0.1,0.3,0.3,0.0,0.0
Revenue,20.3,10.5,21.7,10.3,11.2,4.9
Shares_Diluted,,,,,,
Total_Assets,36.2,22.9,21.8,17.6,,
Total_Liabilities,22.7,10.2,10.4,8.0,,
