AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,2299.1,2495.1,2814.1,3078.2,2329.6,2343.2,1825.9,1880.1,1978.0,,,,
Current_Liabilities,2096.6,2298.4,2657.5,2832.9,2084.2,1659.0,1623.6,1665.7,1757.0,,,,
Diluted_EPS,-0.062,-0.556,0.016,-10.891,-19.411,1.497,-2.441,0.109,-0.084,-0.027,-0.305,-0.127,-0.5539999999999999
Goodwill_Intangibles,3272.6,3290.6,3227.0,3328.0,4103.5,4852.2,4699.7,4944.9,4929.0,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,2601.1,2633.3,2505.3,2657.2,2702.8,2748.2,2190.9,2114.9,2052.6,0.0,0.0,0.0,0.0
Revenue,387.8,383.6,366.0,378.9,367.7,371.7,353.6,384.3,377.4,370.3,355.5,341.0,359.7
Shares_Diluted,61.0,60.6634,60.5925,60.4859,60.3349,60.3094,60.307,60.6665,723.7124,,,,
Total_Assets,5734.6,5957.1,6120.4,6479.4,6501.3,7267.2,6593.1,6894.3,6977.5,,,,
Total_Liabilities,4863.7,5097.4,5361.6,5700.4,5038.4,4697.5,4124.9,4281.4,4372.2,,,,
