AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,28.2,31.8,37.9,30.5,36.6,46.8,49.9,56.0,67.9,4.8,1.4,0.4,0.5,0.1,0.1
Current_Liabilities,8.8,7.9,6.9,7.1,7.8,9.5,6.0,6.1,12.0,8.0,3.9,0.0,0.0,0.3,0.3
Diluted_EPS,-0.321,-0.328,-0.306,-0.288,-0.257,-2.886,-0.375,-2.847,-0.515,-0.136,-0.042,-0.444,-0.003,0.0,-0.001
Goodwill_Intangibles,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7,,,,
Inventory,10.0,11.6,11.8,10.8,9.3,11.1,6.2,4.2,2.9,1.1,0.2,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
Revenue,1.9,1.1,0.6,1.3,2.4,1.2,1.2,1.0,0.8,1.5,1.3,,,,
Shares_Diluted,24.5962,23.9715,21.9529,19.0649,18.8644,18.8236,18.628,18.668,10.4081,18.7611,18.7611,2.311,7.46,5.75,5.75
Total_Assets,36.4,41.2,47.2,39.6,43.0,52.9,98.8,102.1,70.3,7.2,3.9,58.2,58.1,0.3,0.3
Total_Liabilities,11.0,10.0,10.1,9.6,13.6,20.5,6.9,7.3,12.9,8.0,4.5,1.5,1.5,0.3,0.3
