AAII_QTR_DATA,03/31/2023,12/31/2022,06/30/2022,03/31/2022,12/31/2021,06/30/2021,06/30/2020
Current_Assets,162.9,90.6,121.0,176.8,,,
Current_Liabilities,16.1,16.7,25.7,24.6,,,
Diluted_EPS,-0.34,-0.687,-1.333,-0.587,-0.925,-0.83,-0.144
Goodwill_Intangibles,25.1,25.3,25.6,36.0,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,4.5,2.9,1.6,2.3,5.1,6.5
Shares_Diluted,44.9957,38.5936,38.6184,,42.2221,,
Total_Assets,210.6,147.0,180.9,229.0,,,
Total_Liabilities,28.0,29.1,39.0,39.1,,,
