AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,146.6,198.6,182.7,189.5,199.4,251.7,246.8,249.5,,,,,
Current_Liabilities,101.8,122.9,110.3,100.5,95.3,94.1,63.6,61.0,,,,,
Diluted_EPS,-0.256,-0.754,-0.193,-0.173,-0.329,0.117,-0.028,-0.004,-0.085,0.165,-0.016,-0.046,-0.102
Goodwill_Intangibles,229.5,232.2,338.5,342.2,344.7,347.9,41.7,41.7,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,152.3,152.3,150.7,149.4,143.0,141.9,19.5,19.6,0.0,0.0,0.0,0.0,0.0
Revenue,67.2,134.6,103.7,106.8,91.6,145.7,90.1,89.1,72.6,123.0,75.2,59.2,63.9
Shares_Diluted,140.704,139.819,138.939,137.381,136.425,135.05,133.1404,133.1404,,,,,
Total_Assets,469.3,530.0,618.0,637.3,655.8,637.2,329.8,330.0,,,,,
Total_Liabilities,313.9,338.8,324.3,320.6,325.9,266.7,103.8,101.5,,,,,
