AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,17.9,16.7,9.7,38.7,32.4,29.4,21.6,17.5,,,
Current_Liabilities,21.5,22.3,13.6,17.3,15.9,16.4,13.1,13.7,,,
Diluted_EPS,0.0,-0.129,-0.133,0.01,-0.012,-0.254,0.145,0.299,0.1,0.052,-0.016
Goodwill_Intangibles,131.6,132.8,134.0,135.2,136.4,137.6,138.8,140.0,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,81.1,81.4,81.6,81.8,81.8,81.8,82.1,82.1,0.0,0.0,0.0
Revenue,45.8,40.7,38.9,49.7,39.5,37.6,34.7,61.1,22.8,17.8,22.1
Shares_Diluted,56.4434,55.8183,55.6402,58.3607,55.6402,55.6402,55.6402,55.6402,,,
Total_Assets,209.5,200.8,193.9,218.8,207.2,200.6,192.2,185.3,,,
Total_Liabilities,134.3,130.0,121.4,121.3,117.4,117.0,110.2,108.6,,,
