AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,,12587.2,,11038.0,,12488.6,,11011.3,
Current_Liabilities,,40654.1,,39918.8,,41407.4,,39052.9,
Diluted_EPS,0.887,1.515,1.085,0.397,0.835,1.482,1.11,0.406,0.9890000000000001
Goodwill_Intangibles,,6916.5,,6979.2,,6602.0,,6649.0,
Inventory,,461.7,,434.4,,533.3,,728.8,
LT_Debt,0.0,9163.8,0.0,9446.2,0.0,10555.1,0.0,6782.4,0.0
Revenue,14903.7,14933.7,14297.6,14013.3,13927.3,14231.3,14500.0,13899.4,13466.7
Shares_Diluted,809.3237,809.3237,809.3237,809.3237,809.3237,809.3237,809.3237,809.3237,809.3237
Total_Assets,108887.9,107693.7,108047.4,106053.2,107262.9,107234.7,106949.5,100057.9,98075.4
Total_Liabilities,53927.2,53821.7,53619.2,52884.2,54003.2,55080.3,54272.7,48312.8,48099.9
