AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,173.0,175.9,167.4,84.5,83.4,58.3,60.1,69.6,68.4,65.7
Current_Liabilities,44.1,40.7,29.1,26.8,24.3,21.6,17.7,17.7,20.3,17.5
Diluted_EPS,-0.052,-0.045,-0.07,-0.116,-0.175,-0.202,-0.233,-0.214,-0.206,-0.19699999999999998
Goodwill_Intangibles,0.8,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,2.2
Inventory,21.3,19.6,14.9,9.9,11.3,12.6,9.9,9.4,10.2,11.3
LT_Debt,71.3,70.7,70.2,66.2,69.1,48.7,48.3,47.8,36.0,28.7
Revenue,50.1,42.6,40.1,38.7,27.2,20.9,18.4,21.5,19.4,15.8
Shares_Diluted,71.813,71.103,66.528,60.666,58.929,57.718,57.171,56.581,56.07100000000001,55.847
Total_Assets,223.5,214.6,195.0,111.6,111.5,85.1,87.2,96.7,93.0,91.0
Total_Liabilities,129.3,120.6,104.8,98.6,99.3,76.5,72.4,72.2,59.4,49.3
