AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,49.8,55.7,61.2,74.2,86.5,93.8,12.3,,,,0.5,0.6,0.8,0.1
Current_Liabilities,10.0,9.3,10.8,6.3,6.1,6.2,14.6,,,,0.0,0.1,0.1,0.1
Diluted_EPS,-0.131,-0.086,-0.088,-0.076,-0.045,-0.411,-0.003,0.036,-0.005,-0.009,-0.075,0.074,-0.011,-0.002
Goodwill_Intangibles,11.7,11.9,11.9,1.8,1.8,1.8,1.8,,,,,,0.0,0.0
Inventory,1.3,1.2,1.2,0.9,0.9,0.6,0.5,,,,,,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,8.7,8.4,8.4,7.6,8.3,7.7,8.8,8.8,8.7,8.1,,,0.0,0.0
Shares_Diluted,53.0382,53.1856,53.0693,53.1424,52.1088,37.9323,47.553,,,,17.4,17.4,31.725,12.625
Total_Assets,79.5,84.9,90.5,89.3,93.7,97.9,16.2,,,,139.6,139.6,139.3,0.1
Total_Liabilities,11.7,11.1,12.7,7.6,8.7,13.6,16.0,,,,0.0,0.1,2.0,0.1
