AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,11.5,13.0,14.5,16.3,18.4,16.8,17.5,18.4,11.2,11.7,12.0,12.7,6.4,6.3,6.3,6.6,6.8,6.0,5.5,5.4
Current_Liabilities,2.1,2.1,1.6,2.2,2.0,2.0,2.0,2.3,1.9,2.1,2.1,2.2,1.7,1.3,1.5,1.6,1.8,1.4,1.2,1.3
Diluted_EPS,-0.338,-0.398,-0.184,-0.29,-0.231,-0.139,-0.187,-0.326,-0.502,-0.306,-0.092,-0.214,-0.209,0.002,-0.038,0.192,0.062,0.172,0.094,0.128
Goodwill_Intangibles,1.7,1.9,6.3,6.5,6.6,6.7,6.8,7.0,0.4,0.4,0.8,0.4,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0
Inventory,5.2,4.9,5.0,4.7,4.4,3.6,3.1,3.0,2.9,2.6,2.9,2.5,3.0,3.0,2.7,2.6,2.7,2.7,2.3,2.3
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,2.8,2.6,2.7,2.8,2.9,2.9,2.9,2.5,2.5,4.7,2.0,1.5,2.1,2.2,2.0,2.9,3.1,4.2,2.0,3.2
Shares_Diluted,7.0036,7.0036,7.0036,6.9175,6.6339,6.4581,6.4581,4.1743,2.8616,2.8615,2.8613,1.5677,1.5028,1.5577,1.4942,1.5206,1.5171,1.5132,1.5092,1.4941
Total_Assets,16.4,18.1,27.6,29.0,30.5,28.9,28.2,29.0,13.9,14.1,14.6,14.8,8.9,8.9,8.9,8.3,8.5,7.6,7.3,7.3
Total_Liabilities,3.3,3.3,2.8,3.5,3.4,3.4,2.5,2.8,3.1,3.1,3.1,3.1,2.9,2.5,2.6,1.9,2.5,1.7,1.5,1.6
