AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
Current_Assets,7.4,6.3,6.4,6.6,6.4,9.1,12.5,13.0,14.1,11.3,40.9,38.5,48.2,41.2,51.8,2.8,1.5,1.8,3.5,3.1,2.8,2.8
Current_Liabilities,57.9,54.3,41.5,46.1,34.6,37.1,25.0,20.5,24.4,23.4,23.8,26.5,29.1,32.8,35.2,1.9,1.9,1.6,1.2,1.3,2.0,1.7
Diluted_EPS,-0.07,0.004,-0.008,-0.18,-0.031,-0.139,-0.064,0.05,-0.172,-0.005,0.114,-0.193,0.113,-1.298,-0.568,-1.187,-1.6130000000000002,-1.891,-1.53,-2.7430000000000003,-6.127000000000002,-3.815
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Inventory,2.2,2.4,2.7,3.1,3.5,4.4,6.3,6.5,6.7,7.1,7.4,7.9,8.3,8.0,7.5,,,,,,,
LT_Debt,4.4,3.7,3.4,0.0,4.7,4.7,14.4,14.0,12.2,3.4,3.5,3.6,0.9,0.0,1.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Revenue,6.8,5.9,4.9,4.3,3.2,3.0,5.8,6.5,5.3,6.3,5.6,4.4,7.0,22.8,6.1,0.5,0.5,0.4,0.3,0.4,0.6,0.1
Shares_Diluted,50.7096,49.5664,49.5585,49.32,49.3119,49.3125,49.3119,49.3119,49.0738,52.1,48.9872,48.9872,48.6245,42.2595,46.0205,1.787,1.3999,1.2571,1.0697,0.9498,0.8743,0.7259
Total_Assets,48.9,48.2,42.2,46.0,51.5,56.7,60.1,63.3,62.2,59.5,59.9,56.3,66.0,59.5,56.5,4.3,3.1,3.4,5.2,4.8,4.5,4.5
Total_Liabilities,84.9,82.3,79.8,80.6,73.8,78.2,75.2,72.7,74.9,64.7,66.3,70.3,70.7,70.5,74.0,0.5,1.1,1.2,1.1,1.6,2.7,2.4
