AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,26.0,25.9,26.4,26.6,26.7,27.0,26.1,29.7,31.3,29.6,28.5,27.1,25.4,26.4,25.9,26.5,26.7,25.0,23.2,23.7
Current_Liabilities,3.9,4.0,5.1,6.1,6.5,4.2,3.0,9.3,10.7,9.7,10.2,8.9,8.6,9.5,8.6,8.8,8.7,9.5,9.3,8.0
Diluted_EPS,0.081,0.06,0.061,0.051,0.048,0.037,0.041,0.052,0.031,0.075,0.021,0.017,0.006,0.026,0.002,0.002,0.045,0.076,0.04,0.055
Goodwill_Intangibles,22.0,21.3,21.3,21.4,21.4,21.5,21.5,21.6,21.4,21.5,21.5,21.6,21.6,21.6,21.7,21.7,21.8,21.9,21.9,22.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.7,0.8,0.8,0.9,0.3,0.3,0.3,1.6
Revenue,4.8,4.8,4.7,4.6,4.6,4.4,4.6,4.6,6.0,5.2,5.2,5.8,4.6,4.8,4.8,4.7,5.0,5.6,5.9,6.3
Shares_Diluted,18.751,18.63,18.753,18.783,19.422,19.682,19.669,19.784,19.942,19.716,19.642,19.626,19.776,20.052,20.122,20.365,20.39,20.375,20.363,20.37
Total_Assets,49.6,48.8,49.3,49.3,49.7,50.3,49.7,55.0,56.2,55.0,54.3,53.4,52.1,53.6,53.1,52.9,52.6,52.3,50.2,49.3
Total_Liabilities,4.4,4.6,5.5,6.4,6.9,4.8,3.5,9.9,11.3,10.4,11.3,10.8,10.0,11.0,10.2,9.7,9.0,9.8,9.5,9.6
