AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,1.5,1.4,1.7,3.0,0.0,0.0,0.1,0.3,0.9,1.5,1.4,1.8,2.4,3.1
Current_Liabilities,2.2,1.6,0.7,1.8,0.9,0.4,0.2,0.0,0.0,0.4,1.1,1.2,1.3,1.4
Diluted_EPS,-0.003,-0.001,-0.002,-0.007,-0.009,-0.012,-0.01,-0.012,-0.007,0.014,-0.009,-0.015,-0.015,-0.016
Goodwill_Intangibles,0.8,0.8,0.8,0.8,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3.8,3.7,0.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Revenue,3.0,2.6,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,78.1168,78.2268,77.0842,65.4062,51.4501,51.5475,50.711,50.7001,50.8401,50.8401,50.8401,50.8401,50.8452,50.8401
Total_Assets,8.7,8.2,4.2,5.5,0.1,0.1,0.1,0.3,0.9,1.5,1.5,1.9,2.6,3.3
Total_Liabilities,5.9,5.3,1.6,3.0,0.9,0.4,0.2,0.0,0.0,0.4,1.2,1.2,1.3,1.4
