AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,276.5,294.1,337.2,333.6,303.9,292.9,157.2,143.1,124.9,107.3,113.9,95.4
Current_Liabilities,114.6,96.0,103.5,89.0,93.6,79.2,78.5,81.1,66.4,80.5,67.3,73.8
Diluted_EPS,-0.018,0.018,0.041,0.078,0.047,-0.04,0.022,0.004,0.076,-0.199,-0.04,-0.1
Goodwill_Intangibles,5.3,5.2,5.2,5.3,5.1,5.2,5.3,5.5,5.6,5.9,5.4,5.5
Inventory,59.3,69.1,79.9,62.1,48.3,50.2,58.8,49.5,40.8,46.6,43.6,44.5
LT_Debt,518.7,505.0,514.8,520.7,510.3,520.8,345.8,364.2,373.3,389.8,357.0,365.9
Revenue,82.9,118.3,103.0,132.6,111.0,86.7,87.4,87.8,106.0,62.1,89.9,82.4
Shares_Diluted,286.349,289.5,288.41,287.678,288.007,282.854,263.321,248.758,246.582,246.194,246.221,246.19400000000002
Total_Assets,1204.6,1171.7,1183.2,1145.3,1094.1,1071.6,910.4,896.8,891.5,893.4,884.0,960.7
Total_Liabilities,840.8,809.8,824.7,799.5,776.5,766.2,593.0,609.4,603.6,623.6,582.3,646.1
