AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018,06/30/2018
Current_Assets,380.0,446.0,438.1,424.4,487.7,525.2,568.4,394.4,393.2,450.5,506.4,359.1,,122.6,,,,
Current_Liabilities,81.1,99.0,87.6,73.7,70.8,73.9,59.3,51.5,41.4,40.4,32.6,31.4,,19.9,,,,
Diluted_EPS,-0.735,-0.3,-0.646,-0.837,-0.217,-0.448,-0.932,-0.946,-0.672,-0.729,-0.265,-1.79,-0.615,-0.405,-0.428,-0.319,-1.605,-0.8440000000000001
Goodwill_Intangibles,13.6,14.4,14.6,14.6,13.9,13.6,13.3,12.0,10.1,10.2,9.8,8.8,,8.4,,,,
Inventory,18.3,18.6,15.7,14.7,11.8,11.1,8.0,7.7,,,,,,,,0.0,0.0,0.0
LT_Debt,324.5,316.2,311.6,300.3,299.1,312.8,307.7,92.3,43.4,37.2,36.4,36.2,0.0,3.9,0.0,0.0,0.0,0.0
Revenue,19.0,69.8,76.3,17.3,46.5,17.0,13.1,3.8,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1,0.6
Shares_Diluted,80.8058,80.4887,78.3727,76.9117,76.8217,76.8025,76.7398,76.7217,76.7217,76.7302,76.7186,70.7159,,87.1074,,,,
Total_Assets,467.7,529.2,531.8,520.5,581.9,618.0,638.0,464.4,461.7,513.7,521.5,373.8,,137.7,,,,
Total_Liabilities,430.0,440.4,427.0,405.1,419.2,451.9,450.7,220.5,163.7,178.2,145.5,177.5,,26.5,,,,
