AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,118.2,151.0,192.4,239.4,38.4,,,,
Current_Liabilities,17.3,17.4,20.3,24.2,41.4,,,,
Diluted_EPS,-0.388,-0.426,-0.435,-0.846,-0.167,-0.283,-0.19,-0.116,-0.05
Goodwill_Intangibles,0.5,1.2,1.9,2.8,3.6,,,,
Inventory,5.9,5.6,6.1,6.3,6.3,,,,
LT_Debt,26.4,25.9,25.4,24.9,82.2,0.0,0.0,0.0,0.0
Revenue,0.7,0.3,1.2,0.2,6.8,0.6,1.0,1.5,1.6
Shares_Diluted,92.9642,93.0533,92.8879,64.2436,92.6085,,,,
Total_Assets,227.4,260.5,294.8,341.0,141.7,,,,
Total_Liabilities,51.9,54.1,51.0,57.8,134.2,,,,
