AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,372.8,390.1,409.7,414.2,423.0,163.4,356.1,92.9,73.6,,,,,,
Current_Liabilities,64.8,63.8,65.0,59.8,53.8,57.0,27.2,73.4,43.3,,,,,,
Diluted_EPS,-0.385,-0.515,-0.318,-0.352,-0.428,-0.447,-0.331,-0.286,-0.245,-0.237,-0.349,-0.143,-0.201,-0.246,-0.186
Goodwill_Intangibles,301.5,297.4,300.3,301.1,296.1,296.4,2.3,2.4,2.4,,,,,,
Inventory,1.4,1.6,5.6,1.7,2.2,2.0,1.4,1.5,1.5,,,,,,
LT_Debt,280.4,279.9,279.4,279.0,278.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,105.3,98.2,103.6,95.6,83.7,67.1,56.7,50.6,43.9,38.0,42.0,34.8,26.7,24.3,21.9
Shares_Diluted,47.6996,47.4604,47.3031,47.0742,46.7896,53.5256,44.3909,42.8734,42.8734,,,,,,
Total_Assets,724.7,736.9,754.3,757.7,761.3,502.6,370.3,105.5,84.6,,,,,,
Total_Liabilities,363.4,363.2,362.4,357.2,352.2,78.1,29.4,75.0,44.3,,,,,,
