AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019
Current_Assets,45.8,51.6,57.2,62.4,65.3,75.5,78.1,34.5,0.4,0.4,0.4,0.4,0.3,0.3,0.2
Current_Liabilities,0.9,1.3,1.3,0.5,0.8,0.6,0.8,0.3,6.5,6.4,6.4,5.7,3.6,1.7,1.0
Diluted_EPS,-1.034,-0.096,-0.039,-0.426,0.819,-2.44,-4.129,0.84,-0.402,-0.717,-1.253,-1.251,-2.608,-2.339,-2.5860000000000003
Goodwill_Intangibles,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.4
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,15.518,15.518,15.5183,15.3589,18.4056,15.2386,4.5196,4.744,0.772,0.7726,0.7298,0.722,0.722,0.7120000000000001,0.6554
Total_Assets,46.1,51.9,57.5,62.8,65.6,75.9,78.4,34.9,0.8,0.8,0.8,0.8,0.6,0.6,0.5
Total_Liabilities,47.9,38.0,43.6,0.9,43.4,73.7,41.0,12.0,6.7,6.7,6.7,5.7,3.6,1.7,1.4
