AAII_QTR_DATA,03/31/2022,12/31/2021,06/30/2021,12/31/2020,09/30/2020,12/31/2019,09/30/2019
Current_Assets,52.7,55.2,30.1,54.0,78.3,,
Current_Liabilities,56.7,74.1,55.7,95.8,91.4,,
Diluted_EPS,0.007,0.25,-0.022,0.951,0.17,0.487,0.038
Goodwill_Intangibles,28.7,28.7,30.9,12.9,12.9,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,12.8,6.4,4.2,4.1,4.2,0.0,0.0
Revenue,12.9,24.4,33.6,10.1,40.9,6.9,31.3
Shares_Diluted,30.7962,32.7717,24.4116,7.1462,28.9462,,
Total_Assets,112.0,118.8,88.1,92.3,116.1,,
Total_Liabilities,75.8,85.4,68.0,106.2,101.1,,
