AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016
Current_Assets,81.5,82.0,83.0,87.6,85.1,84.1,89.2,79.3,57.5,56.5,75.8,73.9,130.6,131.3,151.7,154.3,230.2
Current_Liabilities,196.9,189.7,179.8,170.2,178.1,173.8,164.4,151.6,164.7,170.0,174.0,166.5,383.9,386.3,358.3,330.5,338.9
Diluted_EPS,,-0.444,-0.478,-0.084,-0.266,-1.226,-0.636,-0.54,0.18,-0.506,-0.726,-0.935,-0.7559999999999999,-13.342,-2.231,-34.4,-13.571
Goodwill_Intangibles,7.3,7.5,7.8,7.9,8.0,8.3,11.6,8.6,2.2,2.2,2.9,2.5,2.7,3.0,2.9,2.9,80.4
Inventory,33.3,29.0,26.0,23.7,27.1,23.2,23.2,17.3,10.6,13.8,13.3,11.9,13.5,15.8,20.1,12.3,15.0
LT_Debt,6.6,6.6,6.4,6.9,12.0,12.8,11.0,7.2,6.7,7.8,13.1,20.1,26.9,23.2,32.0,36.7,29.3
Revenue,47.9,47.2,43.2,48.6,38.5,82.6,79.4,82.3,56.4,48.2,49.7,74.9,50.6,121.5,67.5,114.6,65.4
Shares_Diluted,30.293,24.3611,28.09,27.4285,25.7722,24.9516,23.434,17.0092,14.8051,14.6551,10.8111,7.2643,7.2598,6.8266,6.4467,6.4156,6.4146
Total_Assets,230.3,231.1,224.2,228.5,227.5,228.1,238.2,217.0,179.7,178.9,192.9,188.7,312.2,317.3,376.3,361.8,549.4
Total_Liabilities,225.6,218.9,206.0,196.9,208.3,205.7,190.6,171.8,182.2,187.0,195.7,192.6,417.9,419.1,401.2,378.8,418.4
