AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1344.7,1352.5,1035.8,1001.2,1050.3,1122.8,922.7,984.9,1002.5,1032.0,921.0,875.8,1016.3,1022.5,941.0,875.9,1024.3,1190.9
Current_Liabilities,271.3,290.5,233.0,308.6,371.6,418.0,234.2,253.2,295.8,317.4,203.9,185.8,305.6,334.3,242.9,448.2,179.4,293.6
Diluted_EPS,1.079,0.742,0.686,0.575,0.701,0.834,0.052,0.179,-0.044,0.764,0.7170000000000001,0.004,0.442,0.071,0.244,-0.086,0.061,0.611
Goodwill_Intangibles,376.4,386.1,394.1,404.7,386.0,394.3,404.0,407.7,418.3,437.5,447.2,425.7,436.3,449.0,438.7,446.7,454.6,463.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,607.1,605.9,604.2,424.1,422.7,421.4,420.6,419.4,368.0,363.5,359.1,354.8,350.6,346.4,342.4,19.1,317.4,313.5
Revenue,117.1,114.8,124.7,101.3,111.8,143.5,87.7,82.4,90.8,87.5,104.5,76.2,102.2,72.5,75.6,68.6,75.3,75.1
Shares_Diluted,30.026,29.94,30.71,31.275,31.196,31.431,31.189,31.195,30.818,31.119,31.045,30.92,31.11,31.308000000000003,31.776,32.611,34.386,35.607
Total_Assets,1900.1,1928.2,1617.5,1596.0,1628.2,1700.6,1497.1,1561.9,1616.3,1640.5,1538.8,1464.7,1612.1,1628.3,1545.1,1479.8,1626.6,1788.1
Total_Liabilities,1175.2,1232.4,938.7,842.3,882.9,976.3,792.9,849.8,842.9,857.2,769.3,712.1,850.5,846.2,756.2,666.9,689.8,787.5
